,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3,N_Ox,S_Ox
RMSE_extree_base_,10.519006672928667,6.948348613547746,8.07284562314736,9.598828524988134,6.350030931129917,12.43458729781796,7.536631536144577,14.993975690273137,11.642049540871213,8.560053652943756,10.796044231315484,8.484204007242418,6.437663389712191,13.203295336450127
MAE_extree_base_,8.464768366408743,5.326946347531872,6.3382863822125755,8.102043722905961,5.005251282209395,9.14035225516446,5.198461908721349,9.824663873405811,9.417722634777654,6.308841759931834,8.145633593976198,6.715524636765636,5.187016084974171,11.785103236993649
RMSE_extree_1_,10.98256618634493,7.044357528456327,7.9921662523571255,9.48860114036846,5.930916650713295,12.749373137000118,7.409735176495054,14.647788411574815,11.158474183982563,8.077675522596275,11.035067650627077,6.350484854744631,6.558568810840661,12.365277156849617
MAE_extree_1_,8.259370073125668,5.507487457342487,6.384621204865745,8.305182630209018,4.907501124422135,9.424179669517178,5.546186324980323,9.43841529841058,9.036868229123812,5.982668257342596,8.573460118701982,5.244200347958049,5.466865849445899,11.123075545030968
RMSE_extree_2_,12.1931316093683,7.399846102181356,8.737275081229742,10.232677681215739,6.463383223394179,14.044149191912323,7.854276020681322,16.093231864110738,13.138568625825895,9.59429030450103,10.440714591002193,6.148379186699339,7.012878721460994,13.86146496594086
MAE_extree_2_,9.445969078484953,5.839234363415208,7.011589495239158,8.997054683676174,5.213378826872671,11.303979499689666,5.887487676263798,11.304686513043782,10.80719552469175,7.285081197564444,8.266795595923707,5.108584223481352,6.00328898724315,12.752165654592991
RMSE_extree_3_,12.130348513392631,7.44917086458889,8.709756897145501,10.146359852993132,6.372999025781098,13.929787918678615,7.49849939305358,15.995382712803412,12.650207452709566,9.487103145283996,10.24708927386621,6.165602963653368,6.692724302264396,13.460045371721236
MAE_extree_3_,9.358836843644152,5.845080362186041,6.998824320490445,8.930448310208725,5.131613313236323,11.363955877041258,5.676427563765062,11.328827637285377,10.501358455531877,7.248888427443474,8.062667730651986,5.105471136724031,5.678444906184252,12.367867681809505
RMSE_extree_4_,10.914730363033371,6.9925755612182865,7.988985997369099,9.395784742326951,6.023294461029371,12.476063940034386,7.204660845808566,14.414474118446194,10.928353302469382,8.086133999812274,10.907639231115446,6.46102084533717,6.5392493920881725,12.377875976652613
MAE_extree_4_,8.254024742315707,5.423106234045532,6.353063406773875,8.225543410438789,4.9274449380863485,9.431101420580985,5.576399625841827,9.15693774331801,8.93670483324291,6.092422812895727,8.498291127542513,5.1834196640371815,5.421209374174766,11.22031663771962
RMSE_extree_5_,10.877645849689573,7.160417534676102,7.921031831875913,10.139839124955007,6.215963311351536,12.583110083858717,7.341539103991241,14.615061194867009,11.060919170329722,8.073301092580149,10.984489546146152,6.643322726460289,6.548628705958673,12.577156588093574
MAE_extree_5_,8.186062244139546,5.595103997488152,6.217189833823875,8.947463736090768,5.025904343847964,9.364371434866369,5.6212234802488155,9.342979321190834,8.970526372251195,6.10218215242319,8.444025154853833,5.391546245828131,5.445998975785512,11.370067982717117
RMSE_extree_6_,10.926411326536307,7.107482860708277,8.069842336065228,10.087456270039793,6.139811887186016,12.731474266922783,7.331862781315385,14.798905181140148,11.036795972026658,8.120290762407517,10.94137539357268,6.579224439560344,6.614084107993474,12.748934854297387
MAE_extree_6_,8.238197188454112,5.457181511667558,6.397313255790026,8.905061992961631,4.994659587340645,9.534134584925644,5.654991360043262,9.433962575035329,8.915777552382458,6.110053130405919,8.414806328316237,5.251168978367133,5.5083369137028155,11.632054922986228
