,RMSE,MAE,RMSE_val,MAE_val
N_Ox,f6,f6,6.701401197006712,5.481088834261049
S_O3,f6,f6,6.801253259073709,5.766850512993482
S_NO2,f6,f5,7.914110026731168,6.140079984150298
O_NO2,f6,f6,9.306623422745755,7.530527446929023
S_Ox,f6,f6,9.916713746922223,8.646361453363022
W_NO2,f6,f6,10.041151109781932,8.394325610869245
N_O3,f6,f6,10.178230754556855,8.094953755763704
N_NO2,f6,f6,10.50582435024842,8.644797965655064
N_PM10K,f6,f6,11.318099759304886,8.044968436945396
D_NO2,f0_add,f0_add,11.610499213890169,9.208196294421846
W_PM10K,f6,f6,11.748609170691548,8.834718535252422
S_PM10K,f6,f6,12.499595685265426,9.126070765155271
D_PM10K,f0_add,f6,14.157154978341923,10.74655383135812
O_PM10K,f6,f6,16.318596570608534,10.6197913166355
