,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3
RMSE_0.8_,9.362854050502502,8.249029085012083,7.888484470917064,6.757815788409317,7.605325431042145,11.860739195115825,9.443329148412923,17.106420855054434,10.492753380562194,9.887854291490152,9.979121855354002,6.737470307091608
MAE_0.8_,7.466299852423528,6.604646515217633,6.1194463041353,5.347036319032357,5.977552834999981,8.655974192294114,6.811022292744122,11.26074408264412,8.021243784958825,6.98004092494117,7.774748899504414,5.406098151935002
R2_0.8_,0.286186165264217,0.409623190492038,0.4581780983268001,0.5212508451193225,0.5098969190322773,0.31898213432945965,0.49296086135554606,0.05207289722054036,0.5507465022945591,0.48718450819578907,0.7167234271198373,0.8256478348121427
RMSE_0.85_,9.578265850804039,7.234594757794613,7.531243543256487,6.822816360605249,6.599596708065891,11.583366479693364,8.596763577686513,16.316227813315226,9.77875102117685,9.214409281640688,9.78300696279885,6.606093784555876
MAE_0.85_,7.664807864185299,5.884205964517653,5.89246327425,5.650540091149996,5.239709549969108,8.44748225874412,6.218064828486769,10.711932236123536,7.690535161682353,6.46662618470148,7.693254789199708,5.3271851514861766
R2_0.85_,0.253022334872165,0.5458873173771082,0.5061381959531489,0.511937791590231,0.6309067470595766,0.3505662840698148,0.5798000907863126,0.1376600546151636,0.6097650321199144,0.5546248799096164,0.7277367998331215,0.8323447198177742
RMSE_0.9_,10.052767362093435,6.716461331654235,7.530080039214172,7.66760087385971,6.074735275106036,11.711126355750713,8.087501495623634,15.750971457680242,9.897582836553745,8.66208716205416,9.638535327162247,6.586683806936653
MAE_0.9_,7.906297897176477,5.408542577261761,5.990994058491178,6.388432353064706,4.7730036574382355,8.70548703962353,5.806356348682361,10.258116339323527,8.117066446850004,6.016803253908817,7.50518328219206,5.31489964303206
R2_0.9_,0.17698406463489288,0.6085992480042245,0.5062659156171755,0.3836597660886167,0.6872464317638707,0.33620764258415986,0.6280753616738503,0.19637913107203758,0.6002340710930701,0.6063947254615674,0.7357187450506506,0.833318435374272
RMSE_0.95_,10.668788148403753,6.486443789908444,7.835482856818866,9.176257515221309,6.005396242437631,12.42286268228224,7.76724257561501,15.21339976528428,11.188410090341451,8.450606422017596,9.615816100861958,6.566559962909497
MAE_0.95_,8.391145502576473,5.140474243025002,6.1859771793823555,8.099131936785302,4.777222589458822,9.285329720247056,5.731950835520589,10.01703732362206,9.255196429455893,6.034063890735294,7.506547386258825,5.2791813911132355
R2_0.95_,0.07302853202040756,0.6349620330839553,0.4654382127425585,0.11725819990608802,0.6943581944595973,0.2530499524235501,0.6569398257292327,0.2502597163114727,0.4891868369580856,0.6254116193253358,0.7369671123487036,0.8343416665147629
RMSE_0.99_,11.361162017157753,6.464940411934843,8.316509299672083,11.0767125300567,6.665318904671397,14.423460102773527,7.454952593965336,14.916688419248569,14.210901846486285,9.030388870987139,9.636338453837228,6.624686371549157
MAE_0.99_,9.031185871225002,5.068427427275293,6.529914332367648,9.724479010917642,5.26122894712059,10.985112439976458,5.869556183279413,10.032738200723529,11.50465268363824,6.6572591636,7.511510165308531,5.348366441805883
R2_0.99_,-0.05112292158308622,0.6373411926653664,0.39776548922747856,-0.2865842513346469,0.623485795758219,-0.007064838285359576,0.6839609431514179,0.27926008876476033,0.17568788646544606,0.5721752622800935,0.7358571351295341,0.8313951271724868
